time,ghb_irradiance
2015/01/01 00:00:00,0
2015/01/01 01:00:00,0
2015/01/01 02:00:00,0
2015/01/01 03:00:00,0
2015/01/01 04:00:00,47.528
2015/01/01 05:00:00,210.711
2015/01/01 06:00:00,369.203
2015/01/01 07:00:00,489.266
2015/01/01 08:00:00,553.672
2015/01/01 09:00:00,553.762
2015/01/01 10:00:00,488.608
2015/01/01 11:00:00,352.796
2015/01/01 12:00:00,204.591
2015/01/01 13:00:00,52.976
2015/01/01 14:00:00,0
2015/01/01 15:00:00,0
2015/01/01 16:00:00,0
2015/01/01 17:00:00,0
2015/01/01 18:00:00,0
2015/01/01 19:00:00,0
2015/01/01 20:00:00,0
2015/01/01 21:00:00,0
2015/01/01 22:00:00,0
2015/01/01 23:00:00,0
2015/01/02 00:00:00,0
2015/01/02 01:00:00,0
2015/01/02 02:00:00,0
2015/01/02 03:00:00,0
2015/01/02 04:00:00,29.974
2015/01/02 05:00:00,151.302
2015/01/02 06:00:00,248.974
2015/01/02 07:00:00,282.102
2015/01/02 08:00:00,381.908
2015/01/02 09:00:00,382.452
2015/01/02 10:00:00,339.596
2015/01/02 11:00:00,220.621
2015/01/02 12:00:00,148.17
2015/01/02 13:00:00,52.546
2015/01/02 14:00:00,0
2015/01/02 15:00:00,0
2015/01/02 16:00:00,0
2015/01/02 17:00:00,0
2015/01/02 18:00:00,0
2015/01/02 19:00:00,0
2015/01/02 20:00:00,0
2015/01/02 21:00:00,0
2015/01/02 22:00:00,0
2015/01/02 23:00:00,0
2015/01/03 00:00:00,0
2015/01/03 01:00:00,0
2015/01/03 02:00:00,0
2015/01/03 03:00:00,0
2015/01/03 04:00:00,38.272
2015/01/03 05:00:00,198.483
2015/01/03 06:00:00,377.612
2015/01/03 07:00:00,497.653
2015/01/03 08:00:00,559.383
2015/01/03 09:00:00,562.5
2015/01/03 10:00:00,499.775
2015/01/03 11:00:00,341.986
2015/01/03 12:00:00,178.983
2015/01/03 13:00:00,51.423
2015/01/03 14:00:00,0
2015/01/03 15:00:00,0
2015/01/03 16:00:00,0
2015/01/03 17:00:00,0
2015/01/03 18:00:00,0
2015/01/03 19:00:00,0
2015/01/03 20:00:00,0
2015/01/03 21:00:00,0
2015/01/03 22:00:00,0
2015/01/03 23:00:00,0
2015/01/04 00:00:00,0
2015/01/04 01:00:00,0
2015/01/04 02:00:00,0
2015/01/04 03:00:00,0
2015/01/04 04:00:00,23.768
2015/01/04 05:00:00,90.478
2015/01/04 06:00:00,189.669
2015/01/04 07:00:00,229.995
2015/01/04 08:00:00,338.358
2015/01/04 09:00:00,349.981
2015/01/04 10:00:00,340.587
2015/01/04 11:00:00,258.431
2015/01/04 12:00:00,118.953
2015/01/04 13:00:00,35.853
2015/01/04 14:00:00,0
2015/01/04 15:00:00,0
2015/01/04 16:00:00,0
2015/01/04 17:00:00,0
2015/01/04 18:00:00,0
2015/01/04 19:00:00,0
2015/01/04 20:00:00,0
2015/01/04 21:00:00,0
2015/01/04 22:00:00,0
2015/01/04 23:00:00,0
2015/01/05 00:00:00,0
2015/01/05 01:00:00,0
2015/01/05 02:00:00,0
2015/01/05 03:00:00,0
2015/01/05 04:00:00,49.041
2015/01/05 05:00:00,214.906
2015/01/05 06:00:00,379.074
2015/01/05 07:00:00,502.163
2015/01/05 08:00:00,568.896
2015/01/05 09:00:00,574.431
2015/01/05 10:00:00,513.492
2015/01/05 11:00:00,395.204
2015/01/05 12:00:00,233.37
2015/01/05 13:00:00,62.058
2015/01/05 14:00:00,0.001
2015/01/05 15:00:00,0
2015/01/05 16:00:00,0
2015/01/05 17:00:00,0
2015/01/05 18:00:00,0
2015/01/05 19:00:00,0
2015/01/05 20:00:00,0
2015/01/05 21:00:00,0
2015/01/05 22:00:00,0
2015/01/05 23:00:00,0
2015/01/06 00:00:00,0
2015/01/06 01:00:00,0
2015/01/06 02:00:00,0
2015/01/06 03:00:00,0
2015/01/06 04:00:00,54.828
2015/01/06 05:00:00,230.066
2015/01/06 06:00:00,398.837
2015/01/06 07:00:00,524.723
2015/01/06 08:00:00,592.123
2015/01/06 09:00:00,593.157
2015/01/06 10:00:00,526.344
2015/01/06 11:00:00,401.747
2015/01/06 12:00:00,232.922
2015/01/06 13:00:00,48.056
2015/01/06 14:00:00,0.001
2015/01/06 15:00:00,0
2015/01/06 16:00:00,0
2015/01/06 17:00:00,0
2015/01/06 18:00:00,0
2015/01/06 19:00:00,0
2015/01/06 20:00:00,0
2015/01/06 21:00:00,0
2015/01/06 22:00:00,0
2015/01/06 23:00:00,0
2015/01/07 00:00:00,0
2015/01/07 01:00:00,0
2015/01/07 02:00:00,0
2015/01/07 03:00:00,0
2015/01/07 04:00:00,41.142
2015/01/07 05:00:00,193.739
2015/01/07 06:00:00,357.596
2015/01/07 07:00:00,484.014
2015/01/07 08:00:00,552.775
2015/01/07 09:00:00,545.292
2015/01/07 10:00:00,484.553
2015/01/07 11:00:00,366.495
2015/01/07 12:00:00,208.702
2015/01/07 13:00:00,52.144
2015/01/07 14:00:00,0.002
2015/01/07 15:00:00,0
2015/01/07 16:00:00,0
2015/01/07 17:00:00,0
2015/01/07 18:00:00,0
2015/01/07 19:00:00,0
2015/01/07 20:00:00,0
2015/01/07 21:00:00,0
2015/01/07 22:00:00,0
2015/01/07 23:00:00,0
2015/01/08 00:00:00,0
2015/01/08 01:00:00,0
2015/01/08 02:00:00,0
2015/01/08 03:00:00,0
2015/01/08 04:00:00,36.685
2015/01/08 05:00:00,169.686
2015/01/08 06:00:00,322.233
2015/01/08 07:00:00,405.219
2015/01/08 08:00:00,452.836
2015/01/08 09:00:00,405.129
2015/01/08 10:00:00,312.276
2015/01/08 11:00:00,295.73
2015/01/08 12:00:00,193.237
2015/01/08 13:00:00,50.242
2015/01/08 14:00:00,0.004
2015/01/08 15:00:00,0
2015/01/08 16:00:00,0
2015/01/08 17:00:00,0
2015/01/08 18:00:00,0
2015/01/08 19:00:00,0
2015/01/08 20:00:00,0
2015/01/08 21:00:00,0
2015/01/08 22:00:00,0
2015/01/08 23:00:00,0
2015/01/09 00:00:00,0
2015/01/09 01:00:00,0
2015/01/09 02:00:00,0
2015/01/09 03:00:00,0
2015/01/09 04:00:00,34.296
2015/01/09 05:00:00,145.67
2015/01/09 06:00:00,259.234
2015/01/09 07:00:00,333.68
2015/01/09 08:00:00,378.283
2015/01/09 09:00:00,398.396
2015/01/09 10:00:00,338.745
2015/01/09 11:00:00,229.687
2015/01/09 12:00:00,137.359
2015/01/09 13:00:00,39.711
2015/01/09 14:00:00,0.004
2015/01/09 15:00:00,0
2015/01/09 16:00:00,0
2015/01/09 17:00:00,0
2015/01/09 18:00:00,0
2015/01/09 19:00:00,0
2015/01/09 20:00:00,0
2015/01/09 21:00:00,0
2015/01/09 22:00:00,0
2015/01/09 23:00:00,0
2015/01/10 00:00:00,0
2015/01/10 01:00:00,0
2015/01/10 02:00:00,0
2015/01/10 03:00:00,0
2015/01/10 04:00:00,11.09
2015/01/10 05:00:00,46.245
2015/01/10 06:00:00,89.813
2015/01/10 07:00:00,148.769
2015/01/10 08:00:00,219.446
2015/01/10 09:00:00,247.093
2015/01/10 10:00:00,307.916
2015/01/10 11:00:00,222.443
2015/01/10 12:00:00,123.221
2015/01/10 13:00:00,30.765
2015/01/10 14:00:00,0.005
2015/01/10 15:00:00,0
2015/01/10 16:00:00,0
2015/01/10 17:00:00,0
2015/01/10 18:00:00,0
2015/01/10 19:00:00,0
2015/01/10 20:00:00,0
2015/01/10 21:00:00,0
2015/01/10 22:00:00,0
2015/01/10 23:00:00,0
2015/01/11 00:00:00,0
2015/01/11 01:00:00,0
2015/01/11 02:00:00,0
2015/01/11 03:00:00,0
2015/01/11 04:00:00,31.498
2015/01/11 05:00:00,187.976
2015/01/11 06:00:00,286.501
2015/01/11 07:00:00,365.802
2015/01/11 08:00:00,356.327
2015/01/11 09:00:00,414.631
2015/01/11 10:00:00,489.052
2015/01/11 11:00:00,389.136
2015/01/11 12:00:00,230.599
2015/01/11 13:00:00,64.486
2015/01/11 14:00:00,0.02
2015/01/11 15:00:00,0
2015/01/11 16:00:00,0
2015/01/11 17:00:00,0
2015/01/11 18:00:00,0
2015/01/11 19:00:00,0
2015/01/11 20:00:00,0
2015/01/11 21:00:00,0
2015/01/11 22:00:00,0
2015/01/11 23:00:00,0
2015/01/12 00:00:00,0
2015/01/12 01:00:00,0
2015/01/12 02:00:00,0
2015/01/12 03:00:00,0
2015/01/12 04:00:00,60.205
2015/01/12 05:00:00,238.462
2015/01/12 06:00:00,409.224
2015/01/12 07:00:00,536.261
2015/01/12 08:00:00,604.403
2015/01/12 09:00:00,602.066
2015/01/12 10:00:00,540.953
2015/01/12 11:00:00,419.998
2015/01/12 12:00:00,253.43
2015/01/12 13:00:00,73.599
2015/01/12 14:00:00,0.031
2015/01/12 15:00:00,0
2015/01/12 16:00:00,0
2015/01/12 17:00:00,0
2015/01/12 18:00:00,0
2015/01/12 19:00:00,0
2015/01/12 20:00:00,0
2015/01/12 21:00:00,0
2015/01/12 22:00:00,0
2015/01/12 23:00:00,0
2015/01/13 00:00:00,0
2015/01/13 01:00:00,0
2015/01/13 02:00:00,0
2015/01/13 03:00:00,0
2015/01/13 04:00:00,64.053
2015/01/13 05:00:00,246.387
2015/01/13 06:00:00,418.752
2015/01/13 07:00:00,546.713
2015/01/13 08:00:00,615.698
2015/01/13 09:00:00,617.276
2015/01/13 10:00:00,554.464
2015/01/13 11:00:00,431.755
2015/01/13 12:00:00,262.498
2015/01/13 13:00:00,77.907
2015/01/13 14:00:00,0.049
2015/01/13 15:00:00,0
2015/01/13 16:00:00,0
2015/01/13 17:00:00,0
2015/01/13 18:00:00,0
2015/01/13 19:00:00,0
2015/01/13 20:00:00,0
2015/01/13 21:00:00,0
2015/01/13 22:00:00,0
2015/01/13 23:00:00,0
2015/01/14 00:00:00,0
2015/01/14 01:00:00,0
2015/01/14 02:00:00,0
2015/01/14 03:00:00,0
2015/01/14 04:00:00,55.865
2015/01/14 05:00:00,237.688
2015/01/14 06:00:00,416.005
2015/01/14 07:00:00,546.477
2015/01/14 08:00:00,614.756
2015/01/14 09:00:00,608.258
2015/01/14 10:00:00,543.949
2015/01/14 11:00:00,416.724
2015/01/14 12:00:00,196.367
2015/01/14 13:00:00,51.4
2015/01/14 14:00:00,0.06
2015/01/14 15:00:00,0
2015/01/14 16:00:00,0
2015/01/14 17:00:00,0
2015/01/14 18:00:00,0
2015/01/14 19:00:00,0
2015/01/14 20:00:00,0
2015/01/14 21:00:00,0
2015/01/14 22:00:00,0
2015/01/14 23:00:00,0
2015/01/15 00:00:00,0
2015/01/15 01:00:00,0
2015/01/15 02:00:00,0
2015/01/15 03:00:00,0
2015/01/15 04:00:00,36.341
2015/01/15 05:00:00,148.164
2015/01/15 06:00:00,227.974
2015/01/15 07:00:00,232.511
2015/01/15 08:00:00,232.027
2015/01/15 09:00:00,267.206
2015/01/15 10:00:00,251.144
2015/01/15 11:00:00,196.961
2015/01/15 12:00:00,117.981
2015/01/15 13:00:00,35.841
2015/01/15 14:00:00,0.055
2015/01/15 15:00:00,0
2015/01/15 16:00:00,0
2015/01/15 17:00:00,0
2015/01/15 18:00:00,0
2015/01/15 19:00:00,0
2015/01/15 20:00:00,0
2015/01/15 21:00:00,0
2015/01/15 22:00:00,0
2015/01/15 23:00:00,0
2015/01/16 00:00:00,0
2015/01/16 01:00:00,0
2015/01/16 02:00:00,0
2015/01/16 03:00:00,0
2015/01/16 04:00:00,61.244
2015/01/16 05:00:00,234.721
2015/01/16 06:00:00,401.886
2015/01/16 07:00:00,526.796
2015/01/16 08:00:00,593.681
2015/01/16 09:00:00,586.122
2015/01/16 10:00:00,524.599
2015/01/16 11:00:00,405.531
2015/01/16 12:00:00,242.772
2015/01/16 13:00:00,66.797
2015/01/16 14:00:00,0.13
2015/01/16 15:00:00,0
2015/01/16 16:00:00,0
2015/01/16 17:00:00,0
2015/01/16 18:00:00,0
2015/01/16 19:00:00,0
2015/01/16 20:00:00,0
2015/01/16 21:00:00,0
2015/01/16 22:00:00,0
2015/01/16 23:00:00,0
2015/01/17 00:00:00,0
2015/01/17 01:00:00,0
2015/01/17 02:00:00,0
2015/01/17 03:00:00,0.001
2015/01/17 04:00:00,59.323
2015/01/17 05:00:00,229.326
2015/01/17 06:00:00,400.656
2015/01/17 07:00:00,526.334
2015/01/17 08:00:00,592.416
2015/01/17 09:00:00,592.608
2015/01/17 10:00:00,527.454
2015/01/17 11:00:00,404.452
2015/01/17 12:00:00,241.152
2015/01/17 13:00:00,70.412
2015/01/17 14:00:00,0.176
2015/01/17 15:00:00,0
2015/01/17 16:00:00,0
2015/01/17 17:00:00,0
2015/01/17 18:00:00,0
2015/01/17 19:00:00,0
2015/01/17 20:00:00,0
2015/01/17 21:00:00,0
2015/01/17 22:00:00,0
2015/01/17 23:00:00,0
2015/01/18 00:00:00,0
2015/01/18 01:00:00,0
2015/01/18 02:00:00,0
2015/01/18 03:00:00,0.002
2015/01/18 04:00:00,49.77
2015/01/18 05:00:00,231.867
2015/01/18 06:00:00,401.344
2015/01/18 07:00:00,527.756
2015/01/18 08:00:00,596.437
2015/01/18 09:00:00,582.284
2015/01/18 10:00:00,521.572
2015/01/18 11:00:00,402.808
2015/01/18 12:00:00,241.127
2015/01/18 13:00:00,71.502
2015/01/18 14:00:00,0.222
2015/01/18 15:00:00,0
2015/01/18 16:00:00,0
2015/01/18 17:00:00,0
2015/01/18 18:00:00,0
2015/01/18 19:00:00,0
2015/01/18 20:00:00,0
2015/01/18 21:00:00,0
2015/01/18 22:00:00,0
2015/01/18 23:00:00,0
2015/01/19 00:00:00,0
2015/01/19 01:00:00,0
2015/01/19 02:00:00,0
2015/01/19 03:00:00,0.008
