time,ghc_irradiance
2015/01/01 00:00:00,0.002
2015/01/01 01:00:00,71.217
2015/01/01 02:00:00,281.039
2015/01/01 03:00:00,479.067
2015/01/01 04:00:00,636.748
2015/01/01 05:00:00,731.508
2015/01/01 06:00:00,789.506
2015/01/01 07:00:00,764.712
2015/01/01 08:00:00,670.868
2015/01/01 09:00:00,498.513
2015/01/01 10:00:00,306.022
2015/01/01 11:00:00,101.932
2015/01/01 12:00:00,2.92
2015/01/01 13:00:00,0
2015/01/01 14:00:00,0
2015/01/01 15:00:00,0
2015/01/01 16:00:00,0
2015/01/01 17:00:00,0
2015/01/01 18:00:00,0
2015/01/01 19:00:00,0
2015/01/01 20:00:00,0
2015/01/01 21:00:00,0
2015/01/01 22:00:00,0
2015/01/01 23:00:00,0
2015/01/02 00:00:00,0.002
2015/01/02 01:00:00,64.656
2015/01/02 02:00:00,255.544
2015/01/02 03:00:00,475.27
2015/01/02 04:00:00,634.216
2015/01/02 05:00:00,750.406
2015/01/02 06:00:00,751.751
2015/01/02 07:00:00,730.247
2015/01/02 08:00:00,650.377
2015/01/02 09:00:00,491.184
2015/01/02 10:00:00,306.611
2015/01/02 11:00:00,101.614
2015/01/02 12:00:00,2.91
2015/01/02 13:00:00,0
2015/01/02 14:00:00,0
2015/01/02 15:00:00,0
2015/01/02 16:00:00,0
2015/01/02 17:00:00,0
2015/01/02 18:00:00,0
2015/01/02 19:00:00,0
2015/01/02 20:00:00,0
2015/01/02 21:00:00,0
2015/01/02 22:00:00,0
2015/01/02 23:00:00,0
2015/01/03 00:00:00,0.002
2015/01/03 01:00:00,66.685
2015/01/03 02:00:00,259.04
2015/01/03 03:00:00,475.364
2015/01/03 04:00:00,660.274
2015/01/03 05:00:00,784.113
2015/01/03 06:00:00,817.857
2015/01/03 07:00:00,797.153
2015/01/03 08:00:00,704.482
2015/01/03 09:00:00,543.217
2015/01/03 10:00:00,347.336
2015/01/03 11:00:00,125.564
2015/01/03 12:00:00,3.611
2015/01/03 13:00:00,0
2015/01/03 14:00:00,0
2015/01/03 15:00:00,0
2015/01/03 16:00:00,0
2015/01/03 17:00:00,0
2015/01/03 18:00:00,0
2015/01/03 19:00:00,0
2015/01/03 20:00:00,0
2015/01/03 21:00:00,0
2015/01/03 22:00:00,0
2015/01/03 23:00:00,0
2015/01/04 00:00:00,0.003
2015/01/04 01:00:00,63.578
2015/01/04 02:00:00,248.243
2015/01/04 03:00:00,459.009
2015/01/04 04:00:00,614.662
2015/01/04 05:00:00,744.569
2015/01/04 06:00:00,776.978
2015/01/04 07:00:00,747.746
2015/01/04 08:00:00,660.137
2015/01/04 09:00:00,505.291
2015/01/04 10:00:00,318.427
2015/01/04 11:00:00,119.128
2015/01/04 12:00:00,3.349
2015/01/04 13:00:00,0
2015/01/04 14:00:00,0
2015/01/04 15:00:00,0
2015/01/04 16:00:00,0
2015/01/04 17:00:00,0
2015/01/04 18:00:00,0
2015/01/04 19:00:00,0
2015/01/04 20:00:00,0
2015/01/04 21:00:00,0
2015/01/04 22:00:00,0
2015/01/04 23:00:00,0
2015/01/05 00:00:00,0.003
2015/01/05 01:00:00,73.868
2015/01/05 02:00:00,270.942
2015/01/05 03:00:00,492.112
2015/01/05 04:00:00,680.389
2015/01/05 05:00:00,799.294
2015/01/05 06:00:00,855.234
2015/01/05 07:00:00,827.027
2015/01/05 08:00:00,727.911
2015/01/05 09:00:00,568.424
2015/01/05 10:00:00,359.625
2015/01/05 11:00:00,130.382
2015/01/05 12:00:00,3.865
2015/01/05 13:00:00,0
2015/01/05 14:00:00,0
2015/01/05 15:00:00,0
2015/01/05 16:00:00,0
2015/01/05 17:00:00,0
2015/01/05 18:00:00,0
2015/01/05 19:00:00,0
