time,ghm_irradiance
2015/01/01 00:00:00,0
2015/01/01 01:00:00,0
2015/01/01 02:00:00,0
2015/01/01 03:00:00,0.021
2015/01/01 04:00:00,86.955
2015/01/01 05:00:00,305.452
2015/01/01 06:00:00,508.92
2015/01/01 07:00:00,669.47
2015/01/01 08:00:00,766.48
2015/01/01 09:00:00,789.516
2015/01/01 10:00:00,738.473
2015/01/01 11:00:00,617.444
2015/01/01 12:00:00,435.348
2015/01/01 13:00:00,219.02
2015/01/01 14:00:00,32.331
2015/01/01 15:00:00,0
2015/01/01 16:00:00,0
2015/01/01 17:00:00,0
2015/01/01 18:00:00,0
2015/01/01 19:00:00,0
2015/01/01 20:00:00,0
2015/01/01 21:00:00,0
2015/01/01 22:00:00,0
2015/01/01 23:00:00,0
2015/01/02 00:00:00,0
2015/01/02 01:00:00,0
2015/01/02 02:00:00,0
2015/01/02 03:00:00,0.023
2015/01/02 04:00:00,81.823
2015/01/02 05:00:00,293.198
2015/01/02 06:00:00,497.697
2015/01/02 07:00:00,657.37
2015/01/02 08:00:00,754.805
2015/01/02 09:00:00,777.322
2015/01/02 10:00:00,728.375
2015/01/02 11:00:00,609.102
2015/01/02 12:00:00,427.893
2015/01/02 13:00:00,216.145
2015/01/02 14:00:00,32.486
2015/01/02 15:00:00,0
2015/01/02 16:00:00,0
2015/01/02 17:00:00,0
2015/01/02 18:00:00,0
2015/01/02 19:00:00,0
2015/01/02 20:00:00,0
2015/01/02 21:00:00,0
2015/01/02 22:00:00,0
2015/01/02 23:00:00,0
2015/01/03 00:00:00,0
2015/01/03 01:00:00,0
2015/01/03 02:00:00,0
2015/01/03 03:00:00,0.027
2015/01/03 04:00:00,80.213
2015/01/03 05:00:00,289.007
2015/01/03 06:00:00,487.893
2015/01/03 07:00:00,646.992
2015/01/03 08:00:00,743.181
2015/01/03 09:00:00,771.399
2015/01/03 10:00:00,722.193
2015/01/03 11:00:00,603.192
2015/01/03 12:00:00,426.787
2015/01/03 13:00:00,215.7
2015/01/03 14:00:00,32.483
2015/01/03 15:00:00,0
2015/01/03 16:00:00,0
2015/01/03 17:00:00,0
2015/01/03 18:00:00,0
2015/01/03 19:00:00,0
2015/01/03 20:00:00,0
2015/01/03 21:00:00,0
2015/01/03 22:00:00,0
2015/01/03 23:00:00,0
2015/01/04 00:00:00,0
2015/01/04 01:00:00,0
2015/01/04 02:00:00,0
2015/01/04 03:00:00,0.031
2015/01/04 04:00:00,79.436
2015/01/04 05:00:00,287.088
2015/01/04 06:00:00,483.891
2015/01/04 07:00:00,641.876
2015/01/04 08:00:00,741.329
2015/01/04 09:00:00,773.857
2015/01/04 10:00:00,726.077
2015/01/04 11:00:00,607.66
2015/01/04 12:00:00,433.87
2015/01/04 13:00:00,220.414
2015/01/04 14:00:00,33.946
2015/01/04 15:00:00,0
2015/01/04 16:00:00,0
2015/01/04 17:00:00,0
2015/01/04 18:00:00,0
2015/01/04 19:00:00,0
2015/01/04 20:00:00,0
2015/01/04 21:00:00,0
2015/01/04 22:00:00,0
2015/01/04 23:00:00,0
2015/01/05 00:00:00,0
2015/01/05 01:00:00,0
2015/01/05 02:00:00,0
2015/01/05 03:00:00,0.037
2015/01/05 04:00:00,79.513
2015/01/05 05:00:00,284.228
2015/01/05 06:00:00,480.166
2015/01/05 07:00:00,645.363
2015/01/05 08:00:00,745.097
2015/01/05 09:00:00,773.25
2015/01/05 10:00:00,723.537
2015/01/05 11:00:00,605.226
2015/01/05 12:00:00,430.763
2015/01/05 13:00:00,219.892
2015/01/05 14:00:00,34.437
2015/01/05 15:00:00,0
2015/01/05 16:00:00,0
2015/01/05 17:00:00,0
2015/01/05 18:00:00,0
2015/01/05 19:00:00,0
2015/01/05 20:00:00,0
2015/01/05 21:00:00,0
2015/01/05 22:00:00,0
2015/01/05 23:00:00,0
2015/01/06 00:00:00,0
2015/01/06 01:00:00,0
2015/01/06 02:00:00,0
2015/01/06 03:00:00,0.045
2015/01/06 04:00:00,85.684
2015/01/06 05:00:00,298.002
2015/01/06 06:00:00,499.795
2015/01/06 07:00:00,655.566
2015/01/06 08:00:00,754.762
2015/01/06 09:00:00,772.267
2015/01/06 10:00:00,721.586
2015/01/06 11:00:00,601.426
2015/01/06 12:00:00,416.028
2015/01/06 13:00:00,207.803
2015/01/06 14:00:00,31.776
2015/01/06 15:00:00,0
2015/01/06 16:00:00,0
2015/01/06 17:00:00,0
2015/01/06 18:00:00,0
2015/01/06 19:00:00,0
2015/01/06 20:00:00,0
2015/01/06 21:00:00,0
2015/01/06 22:00:00,0
2015/01/06 23:00:00,0
2015/01/07 00:00:00,0
2015/01/07 01:00:00,0
2015/01/07 02:00:00,0
2015/01/07 03:00:00,0.048
2015/01/07 04:00:00,66.76
2015/01/07 05:00:00,245.204
2015/01/07 06:00:00,472.181
2015/01/07 07:00:00,640.609
2015/01/07 08:00:00,738.664
2015/01/07 09:00:00,757.888
2015/01/07 10:00:00,712.356
2015/01/07 11:00:00,598.109
2015/01/07 12:00:00,425.892
2015/01/07 13:00:00,219.84
2015/01/07 14:00:00,34.807
2015/01/07 15:00:00,0
2015/01/07 16:00:00,0
2015/01/07 17:00:00,0
2015/01/07 18:00:00,0
2015/01/07 19:00:00,0
2015/01/07 20:00:00,0
2015/01/07 21:00:00,0
2015/01/07 22:00:00,0
2015/01/07 23:00:00,0
2015/01/08 00:00:00,0
2015/01/08 01:00:00,0
2015/01/08 02:00:00,0
2015/01/08 03:00:00,0.066
2015/01/08 04:00:00,92.254
2015/01/08 05:00:00,314.001
2015/01/08 06:00:00,523.256
2015/01/08 07:00:00,685.655
2015/01/08 08:00:00,784.432
2015/01/08 09:00:00,805.25
2015/01/08 10:00:00,758.714
2015/01/08 11:00:00,639.348
2015/01/08 12:00:00,441.239
2015/01/08 13:00:00,226.915
2015/01/08 14:00:00,35.91
2015/01/08 15:00:00,0
2015/01/08 16:00:00,0
2015/01/08 17:00:00,0
2015/01/08 18:00:00,0
2015/01/08 19:00:00,0
2015/01/08 20:00:00,0
2015/01/08 21:00:00,0
2015/01/08 22:00:00,0
2015/01/08 23:00:00,0
2015/01/09 00:00:00,0
2015/01/09 01:00:00,0
2015/01/09 02:00:00,0
2015/01/09 03:00:00,0.07
2015/01/09 04:00:00,77.587
2015/01/09 05:00:00,269.041
2015/01/09 06:00:00,471.378
2015/01/09 07:00:00,638.228
2015/01/09 08:00:00,718.742
2015/01/09 09:00:00,752.156
2015/01/09 10:00:00,709.805
2015/01/09 11:00:00,587.028
2015/01/09 12:00:00,395.299
2015/01/09 13:00:00,190.124
2015/01/09 14:00:00,29.379
2015/01/09 15:00:00,0
2015/01/09 16:00:00,0
2015/01/09 17:00:00,0
2015/01/09 18:00:00,0
2015/01/09 19:00:00,0
2015/01/09 20:00:00,0
2015/01/09 21:00:00,0
2015/01/09 22:00:00,0
2015/01/09 23:00:00,0
2015/01/10 00:00:00,0
2015/01/10 01:00:00,0
2015/01/10 02:00:00,0
2015/01/10 03:00:00,0.086
2015/01/10 04:00:00,78.258
2015/01/10 05:00:00,291.466
2015/01/10 06:00:00,500.624
2015/01/10 07:00:00,662.843
2015/01/10 08:00:00,753.964
2015/01/10 09:00:00,777.669
2015/01/10 10:00:00,725.258
2015/01/10 11:00:00,606.107
2015/01/10 12:00:00,433.725
2015/01/10 13:00:00,230.971
2015/01/10 14:00:00,37.501
2015/01/10 15:00:00,0
2015/01/10 16:00:00,0
2015/01/10 17:00:00,0
2015/01/10 18:00:00,0
2015/01/10 19:00:00,0
2015/01/10 20:00:00,0
2015/01/10 21:00:00,0
2015/01/10 22:00:00,0
2015/01/10 23:00:00,0
2015/01/11 00:00:00,0
2015/01/11 01:00:00,0
2015/01/11 02:00:00,0
2015/01/11 03:00:00,0.12
2015/01/11 04:00:00,99.712
2015/01/11 05:00:00,327.005
2015/01/11 06:00:00,538.673
2015/01/11 07:00:00,701.886
2015/01/11 08:00:00,800.605
2015/01/11 09:00:00,820.498
2015/01/11 10:00:00,771.416
2015/01/11 11:00:00,650.106
2015/01/11 12:00:00,467.499
2015/01/11 13:00:00,245.89
2015/01/11 14:00:00,42.157
2015/01/11 15:00:00,0
2015/01/11 16:00:00,0
2015/01/11 17:00:00,0
2015/01/11 18:00:00,0
2015/01/11 19:00:00,0
2015/01/11 20:00:00,0
2015/01/11 21:00:00,0
2015/01/11 22:00:00,0
2015/01/11 23:00:00,0
2015/01/12 00:00:00,0
2015/01/12 01:00:00,0
2015/01/12 02:00:00,0
2015/01/12 03:00:00,0.139
2015/01/12 04:00:00,100.488
2015/01/12 05:00:00,328.637
2015/01/12 06:00:00,502.159
2015/01/12 07:00:00,617.07
2015/01/12 08:00:00,698.268
2015/01/12 09:00:00,712.974
2015/01/12 10:00:00,644.446
2015/01/12 11:00:00,536.057
2015/01/12 12:00:00,387.497
2015/01/12 13:00:00,184.039
2015/01/12 14:00:00,29.515
2015/01/12 15:00:00,0
2015/01/12 16:00:00,0
2015/01/12 17:00:00,0
2015/01/12 18:00:00,0
2015/01/12 19:00:00,0
2015/01/12 20:00:00,0
2015/01/12 21:00:00,0
2015/01/12 22:00:00,0
2015/01/12 23:00:00,0
2015/01/13 00:00:00,0
2015/01/13 01:00:00,0
2015/01/13 02:00:00,0
2015/01/13 03:00:00,0.123
2015/01/13 04:00:00,61.141
2015/01/13 05:00:00,226.391
2015/01/13 06:00:00,408.384
2015/01/13 07:00:00,520.16
2015/01/13 08:00:00,522.744
2015/01/13 09:00:00,454.83
2015/01/13 10:00:00,352.178
2015/01/13 11:00:00,258.718
2015/01/13 12:00:00,186.354
2015/01/13 13:00:00,115.619
2015/01/13 14:00:00,20.603
2015/01/13 15:00:00,0
2015/01/13 16:00:00,0
2015/01/13 17:00:00,0
2015/01/13 18:00:00,0
2015/01/13 19:00:00,0
2015/01/13 20:00:00,0
2015/01/13 21:00:00,0
2015/01/13 22:00:00,0
2015/01/13 23:00:00,0
2015/01/14 00:00:00,0
2015/01/14 01:00:00,0
2015/01/14 02:00:00,0
2015/01/14 03:00:00,0.122
2015/01/14 04:00:00,60.822
2015/01/14 05:00:00,223.574
2015/01/14 06:00:00,404.973
2015/01/14 07:00:00,550.199
2015/01/14 08:00:00,625.026
2015/01/14 09:00:00,642.222
2015/01/14 10:00:00,622.419
2015/01/14 11:00:00,492.79
2015/01/14 12:00:00,319.853
2015/01/14 13:00:00,144.469
2015/01/14 14:00:00,21.944
2015/01/14 15:00:00,0
2015/01/14 16:00:00,0
2015/01/14 17:00:00,0
2015/01/14 18:00:00,0
2015/01/14 19:00:00,0
2015/01/14 20:00:00,0
2015/01/14 21:00:00,0
2015/01/14 22:00:00,0
2015/01/14 23:00:00,0
2015/01/15 00:00:00,0
2015/01/15 01:00:00,0
2015/01/15 02:00:00,0
2015/01/15 03:00:00,0.155
2015/01/15 04:00:00,66.136
2015/01/15 05:00:00,247.76
2015/01/15 06:00:00,463.34
2015/01/15 07:00:00,608.661
2015/01/15 08:00:00,710.789
2015/01/15 09:00:00,733.186
2015/01/15 10:00:00,691.375
2015/01/15 11:00:00,587.322
2015/01/15 12:00:00,423.53
2015/01/15 13:00:00,221.872
2015/01/15 14:00:00,37.599
2015/01/15 15:00:00,0
2015/01/15 16:00:00,0
2015/01/15 17:00:00,0
2015/01/15 18:00:00,0
2015/01/15 19:00:00,0
2015/01/15 20:00:00,0
2015/01/15 21:00:00,0
2015/01/15 22:00:00,0
2015/01/15 23:00:00,0
2015/01/16 00:00:00,0
2015/01/16 01:00:00,0
2015/01/16 02:00:00,0
2015/01/16 03:00:00,0.191
2015/01/16 04:00:00,86.752
2015/01/16 05:00:00,297.747
2015/01/16 06:00:00,503.745
2015/01/16 07:00:00,667.569
2015/01/16 08:00:00,768.076
2015/01/16 09:00:00,793.767
2015/01/16 10:00:00,745.189
2015/01/16 11:00:00,623.992
2015/01/16 12:00:00,448.816
2015/01/16 13:00:00,240.921
2015/01/16 14:00:00,42.886
2015/01/16 15:00:00,0
2015/01/16 16:00:00,0
2015/01/16 17:00:00,0
2015/01/16 18:00:00,0
2015/01/16 19:00:00,0
2015/01/16 20:00:00,0
2015/01/16 21:00:00,0
2015/01/16 22:00:00,0
2015/01/16 23:00:00,0
2015/01/17 00:00:00,0
2015/01/17 01:00:00,0
2015/01/17 02:00:00,0
2015/01/17 03:00:00,0.285
2015/01/17 04:00:00,103.366
2015/01/17 05:00:00,328.723
2015/01/17 06:00:00,535.957
2015/01/17 07:00:00,701.108
2015/01/17 08:00:00,801.303
2015/01/17 09:00:00,826.571
2015/01/17 10:00:00,771.309
2015/01/17 11:00:00,642.342
2015/01/17 12:00:00,457.409
2015/01/17 13:00:00,238.087
2015/01/17 14:00:00,43.669
2015/01/17 15:00:00,0
2015/01/17 16:00:00,0
2015/01/17 17:00:00,0
2015/01/17 18:00:00,0
2015/01/17 19:00:00,0
2015/01/17 20:00:00,0
2015/01/17 21:00:00,0
2015/01/17 22:00:00,0
2015/01/17 23:00:00,0
2015/01/18 00:00:00,0
2015/01/18 01:00:00,0
2015/01/18 02:00:00,0
2015/01/18 03:00:00,0.359
2015/01/18 04:00:00,108.403
2015/01/18 05:00:00,337.302
2015/01/18 06:00:00,549.846
2015/01/18 07:00:00,714.641
2015/01/18 08:00:00,814.5
2015/01/18 09:00:00,834.067
2015/01/18 10:00:00,784.187
2015/01/18 11:00:00,663.259
2015/01/18 12:00:00,483.434
2015/01/18 13:00:00,261.581
2015/01/18 14:00:00,49.227
2015/01/18 15:00:00,0
2015/01/18 16:00:00,0
2015/01/18 17:00:00,0
2015/01/18 18:00:00,0
2015/01/18 19:00:00,0
2015/01/18 20:00:00,0
2015/01/18 21:00:00,0
2015/01/18 22:00:00,0
2015/01/18 23:00:00,0
2015/01/19 00:00:00,0
