time,gho_irradiance
2015/01/01 00:00:00,0
2015/01/01 01:00:00,0
2015/01/01 02:00:00,0
2015/01/01 03:00:00,0
2015/01/01 04:00:00,0
2015/01/01 05:00:00,0
2015/01/01 06:00:00,0
2015/01/01 07:00:00,0
2015/01/01 08:00:00,0
2015/01/01 09:00:00,0
2015/01/01 10:00:00,0
2015/01/01 11:00:00,0
2015/01/01 12:00:00,1.216
2015/01/01 13:00:00,33.96
2015/01/01 14:00:00,70.689
2015/01/01 15:00:00,86.749
2015/01/01 16:00:00,99.248
2015/01/01 17:00:00,76.395
2015/01/01 18:00:00,56.466
2015/01/01 19:00:00,38.419
2015/01/01 20:00:00,17.867
2015/01/01 21:00:00,1.059
2015/01/01 22:00:00,0
2015/01/01 23:00:00,0
2015/01/02 00:00:00,0
2015/01/02 01:00:00,0
2015/01/02 02:00:00,0
2015/01/02 03:00:00,0
2015/01/02 04:00:00,0
2015/01/02 05:00:00,0
2015/01/02 06:00:00,0
2015/01/02 07:00:00,0
2015/01/02 08:00:00,0
2015/01/02 09:00:00,0
2015/01/02 10:00:00,0
2015/01/02 11:00:00,0
2015/01/02 12:00:00,1.898
2015/01/02 13:00:00,78.938
2015/01/02 14:00:00,168.047
2015/01/02 15:00:00,204.745
2015/01/02 16:00:00,264.53
2015/01/02 17:00:00,293.624
2015/01/02 18:00:00,329.553
2015/01/02 19:00:00,218.245
2015/01/02 20:00:00,65.293
2015/01/02 21:00:00,3.04
2015/01/02 22:00:00,0
2015/01/02 23:00:00,0
2015/01/03 00:00:00,0
2015/01/03 01:00:00,0
2015/01/03 02:00:00,0
2015/01/03 03:00:00,0
2015/01/03 04:00:00,0
2015/01/03 05:00:00,0
2015/01/03 06:00:00,0
2015/01/03 07:00:00,0
2015/01/03 08:00:00,0
2015/01/03 09:00:00,0
2015/01/03 10:00:00,0
2015/01/03 11:00:00,0
2015/01/03 12:00:00,1.594
2015/01/03 13:00:00,36.653
2015/01/03 14:00:00,73.624
2015/01/03 15:00:00,168.914
2015/01/03 16:00:00,125.23
2015/01/03 17:00:00,118.237
2015/01/03 18:00:00,96.629
2015/01/03 19:00:00,69.433
2015/01/03 20:00:00,30.313
2015/01/03 21:00:00,1.051
2015/01/03 22:00:00,0
2015/01/03 23:00:00,0
2015/01/04 00:00:00,0
2015/01/04 01:00:00,0
2015/01/04 02:00:00,0
2015/01/04 03:00:00,0
2015/01/04 04:00:00,0
2015/01/04 05:00:00,0
2015/01/04 06:00:00,0
2015/01/04 07:00:00,0
2015/01/04 08:00:00,0
2015/01/04 09:00:00,0
2015/01/04 10:00:00,0
2015/01/04 11:00:00,0
2015/01/04 12:00:00,0.011
2015/01/04 13:00:00,3.673
2015/01/04 14:00:00,16.796
2015/01/04 15:00:00,52.515
2015/01/04 16:00:00,100.251
2015/01/04 17:00:00,120.002
2015/01/04 18:00:00,114.58
2015/01/04 19:00:00,65.863
2015/01/04 20:00:00,8.453
2015/01/04 21:00:00,0.779
2015/01/04 22:00:00,0
2015/01/04 23:00:00,0
2015/01/05 00:00:00,0
2015/01/05 01:00:00,0
2015/01/05 02:00:00,0
2015/01/05 03:00:00,0
2015/01/05 04:00:00,0
2015/01/05 05:00:00,0
2015/01/05 06:00:00,0
2015/01/05 07:00:00,0
2015/01/05 08:00:00,0
2015/01/05 09:00:00,0
2015/01/05 10:00:00,0
2015/01/05 11:00:00,0
2015/01/05 12:00:00,1.379
2015/01/05 13:00:00,42.083
2015/01/05 14:00:00,113.379
2015/01/05 15:00:00,168.851
2015/01/05 16:00:00,186.488
2015/01/05 17:00:00,182.347
2015/01/05 18:00:00,167.031
2015/01/05 19:00:00,119.495
2015/01/05 20:00:00,56.008
2015/01/05 21:00:00,3.832
2015/01/05 22:00:00,0
2015/01/05 23:00:00,0
2015/01/06 00:00:00,0
2015/01/06 01:00:00,0
2015/01/06 02:00:00,0
2015/01/06 03:00:00,0
2015/01/06 04:00:00,0
2015/01/06 05:00:00,0
2015/01/06 06:00:00,0
2015/01/06 07:00:00,0
2015/01/06 08:00:00,0
2015/01/06 09:00:00,0
2015/01/06 10:00:00,0
2015/01/06 11:00:00,0
2015/01/06 12:00:00,2.159
2015/01/06 13:00:00,50.419
2015/01/06 14:00:00,112.06
2015/01/06 15:00:00,156.267
2015/01/06 16:00:00,174.043
2015/01/06 17:00:00,159.798
2015/01/06 18:00:00,113.84
2015/01/06 19:00:00,79.808
2015/01/06 20:00:00,38.78
2015/01/06 21:00:00,2.141
2015/01/06 22:00:00,0
2015/01/06 23:00:00,0
2015/01/07 00:00:00,0
2015/01/07 01:00:00,0
2015/01/07 02:00:00,0
2015/01/07 03:00:00,0
2015/01/07 04:00:00,0
2015/01/07 05:00:00,0
2015/01/07 06:00:00,0
2015/01/07 07:00:00,0
2015/01/07 08:00:00,0
2015/01/07 09:00:00,0
2015/01/07 10:00:00,0
2015/01/07 11:00:00,0
2015/01/07 12:00:00,1.491
2015/01/07 13:00:00,60.109
2015/01/07 14:00:00,180.025
2015/01/07 15:00:00,281.258
2015/01/07 16:00:00,311.393
2015/01/07 17:00:00,248.797
2015/01/07 18:00:00,188.384
2015/01/07 19:00:00,127.555
2015/01/07 20:00:00,54.521
2015/01/07 21:00:00,3.362
2015/01/07 22:00:00,0
2015/01/07 23:00:00,0
2015/01/08 00:00:00,0
2015/01/08 01:00:00,0
2015/01/08 02:00:00,0
2015/01/08 03:00:00,0
2015/01/08 04:00:00,0
2015/01/08 05:00:00,0
2015/01/08 06:00:00,0
2015/01/08 07:00:00,0
2015/01/08 08:00:00,0
2015/01/08 09:00:00,0
2015/01/08 10:00:00,0
2015/01/08 11:00:00,0
2015/01/08 12:00:00,1.059
2015/01/08 13:00:00,31.853
2015/01/08 14:00:00,69.415
2015/01/08 15:00:00,106.849
2015/01/08 16:00:00,122.481
2015/01/08 17:00:00,105.586
2015/01/08 18:00:00,117.96
2015/01/08 19:00:00,86.107
2015/01/08 20:00:00,35.644
2015/01/08 21:00:00,2.185
2015/01/08 22:00:00,0
2015/01/08 23:00:00,0
2015/01/09 00:00:00,0
2015/01/09 01:00:00,0
2015/01/09 02:00:00,0
2015/01/09 03:00:00,0
2015/01/09 04:00:00,0
2015/01/09 05:00:00,0
2015/01/09 06:00:00,0
2015/01/09 07:00:00,0
2015/01/09 08:00:00,0
2015/01/09 09:00:00,0
2015/01/09 10:00:00,0
2015/01/09 11:00:00,0
2015/01/09 12:00:00,1.367
2015/01/09 13:00:00,46.171
2015/01/09 14:00:00,132.104
2015/01/09 15:00:00,236.652
2015/01/09 16:00:00,332.368
2015/01/09 17:00:00,318.56
2015/01/09 18:00:00,191.204
2015/01/09 19:00:00,150.994
2015/01/09 20:00:00,59.267
2015/01/09 21:00:00,3.05
2015/01/09 22:00:00,0
2015/01/09 23:00:00,0
2015/01/10 00:00:00,0
2015/01/10 01:00:00,0
2015/01/10 02:00:00,0
2015/01/10 03:00:00,0
2015/01/10 04:00:00,0
2015/01/10 05:00:00,0
2015/01/10 06:00:00,0
2015/01/10 07:00:00,0
2015/01/10 08:00:00,0
2015/01/10 09:00:00,0
2015/01/10 10:00:00,0
2015/01/10 11:00:00,0
2015/01/10 12:00:00,2.707
2015/01/10 13:00:00,61.323
2015/01/10 14:00:00,140.434
2015/01/10 15:00:00,223.244
2015/01/10 16:00:00,226.541
2015/01/10 17:00:00,189.767
2015/01/10 18:00:00,165.615
2015/01/10 19:00:00,124.596
2015/01/10 20:00:00,53.898
2015/01/10 21:00:00,3.652
2015/01/10 22:00:00,0
2015/01/10 23:00:00,0
2015/01/11 00:00:00,0
2015/01/11 01:00:00,0
2015/01/11 02:00:00,0
2015/01/11 03:00:00,0
2015/01/11 04:00:00,0
2015/01/11 05:00:00,0
2015/01/11 06:00:00,0
2015/01/11 07:00:00,0
2015/01/11 08:00:00,0
2015/01/11 09:00:00,0
2015/01/11 10:00:00,0
2015/01/11 11:00:00,0
2015/01/11 12:00:00,2.905
2015/01/11 13:00:00,52.81
2015/01/11 14:00:00,119.238
2015/01/11 15:00:00,184.314
2015/01/11 16:00:00,225.744
2015/01/11 17:00:00,177.93
2015/01/11 18:00:00,128.903
2015/01/11 19:00:00,108.587
2015/01/11 20:00:00,49.208
2015/01/11 21:00:00,3.487
2015/01/11 22:00:00,0
2015/01/11 23:00:00,0
2015/01/12 00:00:00,0
2015/01/12 01:00:00,0
2015/01/12 02:00:00,0
2015/01/12 03:00:00,0
2015/01/12 04:00:00,0
2015/01/12 05:00:00,0
2015/01/12 06:00:00,0
2015/01/12 07:00:00,0
2015/01/12 08:00:00,0
2015/01/12 09:00:00,0
2015/01/12 10:00:00,0
2015/01/12 11:00:00,0
2015/01/12 12:00:00,1.525
2015/01/12 13:00:00,28.608
2015/01/12 14:00:00,70.454
2015/01/12 15:00:00,151.186
2015/01/12 16:00:00,150.387
2015/01/12 17:00:00,105.854
2015/01/12 18:00:00,86.641
2015/01/12 19:00:00,68.913
2015/01/12 20:00:00,46.297
2015/01/12 21:00:00,4.794
2015/01/12 22:00:00,0
2015/01/12 23:00:00,0
2015/01/13 00:00:00,0
2015/01/13 01:00:00,0
2015/01/13 02:00:00,0
2015/01/13 03:00:00,0
2015/01/13 04:00:00,0
2015/01/13 05:00:00,0
2015/01/13 06:00:00,0
2015/01/13 07:00:00,0
2015/01/13 08:00:00,0
2015/01/13 09:00:00,0
2015/01/13 10:00:00,0
2015/01/13 11:00:00,0
2015/01/13 12:00:00,6.307
2015/01/13 13:00:00,111.064
2015/01/13 14:00:00,250.25
2015/01/13 15:00:00,356.307
2015/01/13 16:00:00,411.472
2015/01/13 17:00:00,416.209
2015/01/13 18:00:00,360.506
2015/01/13 19:00:00,255.493
2015/01/13 20:00:00,116.55
2015/01/13 21:00:00,9.743
2015/01/13 22:00:00,0
2015/01/13 23:00:00,0
2015/01/14 00:00:00,0
2015/01/14 01:00:00,0
2015/01/14 02:00:00,0
2015/01/14 03:00:00,0
2015/01/14 04:00:00,0
2015/01/14 05:00:00,0
2015/01/14 06:00:00,0
2015/01/14 07:00:00,0
2015/01/14 08:00:00,0
2015/01/14 09:00:00,0
2015/01/14 10:00:00,0
2015/01/14 11:00:00,0
2015/01/14 12:00:00,5.397
2015/01/14 13:00:00,87.936
2015/01/14 14:00:00,215.268
2015/01/14 15:00:00,339.839
2015/01/14 16:00:00,411.135
2015/01/14 17:00:00,377.441
2015/01/14 18:00:00,308.284
2015/01/14 19:00:00,217.94
2015/01/14 20:00:00,97.883
2015/01/14 21:00:00,8.34
2015/01/14 22:00:00,0
2015/01/14 23:00:00,0
2015/01/15 00:00:00,0
2015/01/15 01:00:00,0
2015/01/15 02:00:00,0
2015/01/15 03:00:00,0
2015/01/15 04:00:00,0
2015/01/15 05:00:00,0
2015/01/15 06:00:00,0
2015/01/15 07:00:00,0
2015/01/15 08:00:00,0
2015/01/15 09:00:00,0
2015/01/15 10:00:00,0
2015/01/15 11:00:00,0
2015/01/15 12:00:00,4.122
2015/01/15 13:00:00,56.265
2015/01/15 14:00:00,118.505
2015/01/15 15:00:00,194.22
2015/01/15 16:00:00,215.749
2015/01/15 17:00:00,200.394
2015/01/15 18:00:00,159.732
2015/01/15 19:00:00,107.223
2015/01/15 20:00:00,42.888
2015/01/15 21:00:00,4.145
2015/01/15 22:00:00,0
2015/01/15 23:00:00,0
2015/01/16 00:00:00,0
2015/01/16 01:00:00,0
2015/01/16 02:00:00,0
2015/01/16 03:00:00,0
2015/01/16 04:00:00,0
2015/01/16 05:00:00,0
2015/01/16 06:00:00,0
2015/01/16 07:00:00,0
2015/01/16 08:00:00,0
2015/01/16 09:00:00,0
2015/01/16 10:00:00,0
2015/01/16 11:00:00,0
2015/01/16 12:00:00,6.153
2015/01/16 13:00:00,88.022
2015/01/16 14:00:00,224.21
2015/01/16 15:00:00,345.348
2015/01/16 16:00:00,341.415
2015/01/16 17:00:00,256.897
2015/01/16 18:00:00,200.315
2015/01/16 19:00:00,115.584
2015/01/16 20:00:00,61.162
2015/01/16 21:00:00,5.265
2015/01/16 22:00:00,0
2015/01/16 23:00:00,0
2015/01/17 00:00:00,0
2015/01/17 01:00:00,0
2015/01/17 02:00:00,0
2015/01/17 03:00:00,0
2015/01/17 04:00:00,0
2015/01/17 05:00:00,0
2015/01/17 06:00:00,0
2015/01/17 07:00:00,0
2015/01/17 08:00:00,0
2015/01/17 09:00:00,0
2015/01/17 10:00:00,0
2015/01/17 11:00:00,0
2015/01/17 12:00:00,8.729
2015/01/17 13:00:00,112.903
2015/01/17 14:00:00,239.434
2015/01/17 15:00:00,303.908
2015/01/17 16:00:00,292.379
2015/01/17 17:00:00,252.38
2015/01/17 18:00:00,235.247
2015/01/17 19:00:00,168.39
2015/01/17 20:00:00,63.963
2015/01/17 21:00:00,6.904
2015/01/17 22:00:00,0
2015/01/17 23:00:00,0
2015/01/18 00:00:00,0
2015/01/18 01:00:00,0
2015/01/18 02:00:00,0
2015/01/18 03:00:00,0
2015/01/18 04:00:00,0
2015/01/18 05:00:00,0
2015/01/18 06:00:00,0
2015/01/18 07:00:00,0
2015/01/18 08:00:00,0
2015/01/18 09:00:00,0
2015/01/18 10:00:00,0
2015/01/18 11:00:00,0
2015/01/18 12:00:00,2.217
2015/01/18 13:00:00,27.977
2015/01/18 14:00:00,70.195
2015/01/18 15:00:00,119.157
2015/01/18 16:00:00,158.975
2015/01/18 17:00:00,191.201
2015/01/18 18:00:00,157.271
2015/01/18 19:00:00,71.653
2015/01/18 20:00:00,28.362
2015/01/18 21:00:00,2.662
2015/01/18 22:00:00,0
2015/01/18 23:00:00,0
2015/01/19 00:00:00,0
2015/01/19 01:00:00,0
2015/01/19 02:00:00,0
2015/01/19 03:00:00,0
2015/01/19 04:00:00,0
2015/01/19 05:00:00,0
