time,ghw_irradiance
2015/01/01 00:00:00,180.959
2015/01/01 01:00:00,366.689
2015/01/01 02:00:00,516.591
2015/01/01 03:00:00,605.41
2015/01/01 04:00:00,631.1
2015/01/01 05:00:00,573.003
2015/01/01 06:00:00,441.299
2015/01/01 07:00:00,297.539
2015/01/01 08:00:00,136.244
2015/01/01 09:00:00,8.06
2015/01/01 10:00:00,0
2015/01/01 11:00:00,0
2015/01/01 12:00:00,0
2015/01/01 13:00:00,0
2015/01/01 14:00:00,0
2015/01/01 15:00:00,0
2015/01/01 16:00:00,0
2015/01/01 17:00:00,0
2015/01/01 18:00:00,0
2015/01/01 19:00:00,0
2015/01/01 20:00:00,0
2015/01/01 21:00:00,0
2015/01/01 22:00:00,0
2015/01/01 23:00:00,18.683
2015/01/02 00:00:00,142.07
2015/01/02 01:00:00,302.246
2015/01/02 02:00:00,426.343
2015/01/02 03:00:00,504.04
2015/01/02 04:00:00,470.724
2015/01/02 05:00:00,428
2015/01/02 06:00:00,341.246
2015/01/02 07:00:00,214.906
2015/01/02 08:00:00,92.812
2015/01/02 09:00:00,5.784
2015/01/02 10:00:00,0
2015/01/02 11:00:00,0
2015/01/02 12:00:00,0
2015/01/02 13:00:00,0
2015/01/02 14:00:00,0
2015/01/02 15:00:00,0
2015/01/02 16:00:00,0
2015/01/02 17:00:00,0
2015/01/02 18:00:00,0
2015/01/02 19:00:00,0
2015/01/02 20:00:00,0
2015/01/02 21:00:00,0
2015/01/02 22:00:00,0
2015/01/02 23:00:00,19.05
2015/01/03 00:00:00,148.053
2015/01/03 01:00:00,314.295
2015/01/03 02:00:00,455.829
2015/01/03 03:00:00,533.871
2015/01/03 04:00:00,564.096
2015/01/03 05:00:00,528.13
2015/01/03 06:00:00,425.57
2015/01/03 07:00:00,275.086
2015/01/03 08:00:00,110.165
2015/01/03 09:00:00,6.616
2015/01/03 10:00:00,0
2015/01/03 11:00:00,0
2015/01/03 12:00:00,0
2015/01/03 13:00:00,0
2015/01/03 14:00:00,0
2015/01/03 15:00:00,0
2015/01/03 16:00:00,0
2015/01/03 17:00:00,0
2015/01/03 18:00:00,0
2015/01/03 19:00:00,0
2015/01/03 20:00:00,0
2015/01/03 21:00:00,0
2015/01/03 22:00:00,0
2015/01/03 23:00:00,18.031
2015/01/04 00:00:00,137.303
2015/01/04 01:00:00,294.573
2015/01/04 02:00:00,430.561
2015/01/04 03:00:00,524.696
2015/01/04 04:00:00,544.966
2015/01/04 05:00:00,504.011
2015/01/04 06:00:00,392.783
2015/01/04 07:00:00,254.18
2015/01/04 08:00:00,101.483
2015/01/04 09:00:00,6.241
2015/01/04 10:00:00,0
2015/01/04 11:00:00,0
2015/01/04 12:00:00,0
2015/01/04 13:00:00,0
2015/01/04 14:00:00,0
2015/01/04 15:00:00,0
2015/01/04 16:00:00,0
2015/01/04 17:00:00,0
2015/01/04 18:00:00,0
2015/01/04 19:00:00,0
2015/01/04 20:00:00,0
2015/01/04 21:00:00,0
2015/01/04 22:00:00,0
2015/01/04 23:00:00,6.17
2015/01/05 00:00:00,50.049
2015/01/05 01:00:00,113.249
2015/01/05 02:00:00,184.865
2015/01/05 03:00:00,231.383
2015/01/05 04:00:00,199.351
2015/01/05 05:00:00,151.499
2015/01/05 06:00:00,107.594
2015/01/05 07:00:00,68.795
2015/01/05 08:00:00,28.686
2015/01/05 09:00:00,1.746
2015/01/05 10:00:00,0
2015/01/05 11:00:00,0
2015/01/05 12:00:00,0
2015/01/05 13:00:00,0
2015/01/05 14:00:00,0
2015/01/05 15:00:00,0
2015/01/05 16:00:00,0
2015/01/05 17:00:00,0
2015/01/05 18:00:00,0
2015/01/05 19:00:00,0
2015/01/05 20:00:00,0
2015/01/05 21:00:00,0
2015/01/05 22:00:00,0
2015/01/05 23:00:00,8.541
2015/01/06 00:00:00,65.64
2015/01/06 01:00:00,145.317
2015/01/06 02:00:00,204.936
2015/01/06 03:00:00,265.857
